pmid,title,text,source,doc_id
41607364.0,"Overnight Dynamics of Ventricular Cerebrospinal Fluid Amyloid-Beta, Lactate and Hypocretin in Patients With Hydrocephalus: A Pilot Study.","this pilot observational study evaluated whether frequent overnight sampling of ventricular cerebrospinal fluid could clarify how sleep, hypocretin and lactate relate to amyloid- 42 dynamics in adults with hydrocephalus. seven participants underwent hourly ventricular cerebrospinal fluid sampling from early evening to late morning during inpatient monitoring, combined with full polysomnography. concentrations of amyloid- 42, hypocretin, lactate, melatonin and electrolytes were measured and normalised to each individual s mean. relationships with sleep stage and circadian patterns were examined using correlation analysis and cosinor modelling. sleep was markedly disrupted, with obstructive sleep apnea common and analysable sleep data available for six participants. non-rapid eye movement sleep peaked at approximately 4 am amyloid- 42 rose in the evening, plateaued during peak non-rapid eye movement sleep and increased sharply after 8 am hypocretin and lactate were positively correlated and each preceded and correlated with amyloid- 42 surges. melatonin peaked near 6 am and was associated with non-rapid eye movement sleep. intracranial pressure displayed a strong circadian rhythm, peaking during non-rapid eye movement sleep, whereas hypocretin and amyloid- 42 exhibited only modest rhythmicity. these findings demonstrate that overnight ventricular cerebrospinal fluid sampling is feasible in adults with hydrocephalus. preliminary evidence suggests that processes linked to",,
41607364.0,"Overnight Dynamics of Ventricular Cerebrospinal Fluid Amyloid-Beta, Lactate and Hypocretin in Patients With Hydrocephalus: A Pilot Study.","associated with non-rapid eye movement sleep. intracranial pressure displayed a strong circadian rhythm, peaking during non-rapid eye movement sleep, whereas hypocretin and amyloid- 42 exhibited only modest rhythmicity. these findings demonstrate that overnight ventricular cerebrospinal fluid sampling is feasible in adults with hydrocephalus. preliminary evidence suggests that processes linked to wakefulness, rather than sleep or intrinsic circadian timing, may be the primary drivers of overnight amyloid- 42 variation. hypocretin pathways may represent potential therapeutic targets in alzheimer s disease, but conclusions are limited by abnormal sleep architecture and underlying neurological disease. validation in larger and more representative populations is warranted.",,
41604552.0,Multi-View Biomedical Foundation Models for Molecule-Target and Property Prediction.,"molecular foundation models hold promise to provide accurate predictions for a large and diverse set of downstream tasks in bio-medical research. quality molecular representations are key and foundation model development has typically focused on a single representation or molecular view, which may have strengths or weaknesses on a given task. we develop multi-view molecular embedding with late fusion (mmelon), an approach that integrates pre-trained graph, image and text foundation models and may be readily extended to additional views and models. the multi-view model performs robustly and is validated on over 120 tasks, including molecular solubility, adme properties, and activity against g protein-coupled receptors (gpcrs). the gpcr model array is leveraged to perform a virtual screen in search of ligands binding to alzheimer s disease related gpcrs. we identify a number of such targets and employ the multi-view model to select strong binders from a compound screen. predictions are validated through structure-based modeling and identification of key binding motifs.",,
41604552.0,Multi-View Biomedical Foundation Models for Molecule-Target and Property Prediction.,structure-based modeling and identification of key binding motifs.,,
41596653.0,"Design, Synthesis, and Biological Evaluation of Novel Acetylcholinesterase and β-Secretase 1 Inhibitors.","a series of novel granatane-triazole hybrid molecules was designed, synthesized, and evaluated as dual acetylcholinesterase (ache) and -secretase 1 (bace1) inhibitors. the compounds were obtained through a convergent synthetic route involving azide formation, triazole construction via dipolar cycloaddition, and final coupling with a granatane scaffold to give a pseudopelletierine (3-granatanone) analogue. in vitro assays demonstrated that all target compounds inhibited both ache and bace1. molecular docking and molecular dynamics simulations revealed stable interactions with key catalytic residues, suggesting distinct binding modes compared to reference ligands. qsar-based pharmacokinetic predictions indicated favorable blood-brain barrier permeability and compliance with key drug-likeness filters. these findings identify granatane-triazole hybrids as promising multi-target directed ligand (mtdl) candidates with potential for further optimization in the search for new anti-alzheimer therapeutics.",,
41599761.0,Aptamer-Based Delivery of Genes and Drugs Across the Blood-Brain Barrier.,"the blood-brain barrier (bbb) restricts therapeutic delivery to the central nervous system (cns), hindering the treatment of neurological disorders, such as alzheimer s disease, parkinson s disease, brain cancers, and stroke. aptamers, short single-stranded dna or rna oligonucleotides that can fold into unique 3d shapes and bind to specific target molecules, offer high affinity and specificity, low immunogenicity, and promising bbb penetration via receptor-mediated transcytosis targeting receptors such as the transferrin receptor (tfr) and low-density lipoprotein receptor-related protein 1 (lrp1). this review examines aptamer design through the systematic evolution of ligands by exponential enrichment (selex) and its variants, mechanisms of bbb crossing, and applications in cns disorders. recent advances, including in silico optimization, in vivo selex, bbb chip-based mps-selex, and nanoparticle-aptamer hybrids, have identified brain-penetrating aptamers and enhanced the brain delivery efficiency. this review highlights the potential of aptamers to transform cns-targeted therapies.",,
41590318.0,Smart Biosensing Nanomaterials for Alzheimer's Disease: Advances in Design and Drug Delivery Strategies to Overcome the Blood-Brain Barrier.,"alzheimer s disease (ad) is a progressive neurodegenerative disorder marked by persistent memory impairment and complex molecular and cellular pathological changes in the brain. current treatments, including acetylcholinesterase inhibitors and memantine, only help with symptoms for a short time and do not stop the disease from getting worse. this is mainly because these drugs do not reach the brain well and are quickly removed from the body. the blood-brain barrier (bbb) restricts the entry of most drugs into the central nervous system therefore, new methods of drug delivery are needed. nanotechnology-based drug delivery systems (ntdds) are widely studied as a potential approach to address existing therapeutic limitations. smart biosensing nanoparticles composed of polymers, lipids, and metals can be engineered to enhance drug stability, improve drug availability, and target specific brain regions. these smart nanoparticles can cross the bbb via receptor-mediated transcytosis and other transport routes, making them a promising option for treating ad. additionally, multifunctional nanocarriers enable controlled drug release and offer theranostic capabilities, supporting real-time tracking of ad treatment responses to facilitate more precise and personalized interventions. despite these advantages, challenges related to long-term safety, manufacturing scalability, and regulatory approval remain. this review discusses current ad therapies, drug-delivery strategies,",,
41590318.0,Smart Biosensing Nanomaterials for Alzheimer's Disease: Advances in Design and Drug Delivery Strategies to Overcome the Blood-Brain Barrier.,"for treating ad. additionally, multifunctional nanocarriers enable controlled drug release and offer theranostic capabilities, supporting real-time tracking of ad treatment responses to facilitate more precise and personalized interventions. despite these advantages, challenges related to long-term safety, manufacturing scalability, and regulatory approval remain. this review discusses current ad therapies, drug-delivery strategies, recent advances in nanoparticle platforms, and prospects for translating nanomedicine into effective, disease-modifying treatments for ad.",,
41599368.0,Experimental Models and Translational Strategies in Neuroprotective Drug Development with Emphasis on Alzheimer's Disease.,"neurodegenerative diseases (ndds), including alzheimer s disease (ad), parkinson s disease (pd), amyotrophic lateral sclerosis (als) and frontotemporal dementia (ftd), are becoming more prevalent and still lack effective disease-modifying therapies (dmts). however, translational efficiency remains critically low. for example, a clinicaltrials.gov analysis of ad programs (2002-2012) estimated 99.6% attrition, while pd programs (1999-2019) achieved an overall success rate of 14.9%. in vitro platforms are assessed, ranging from immortalized neuronal lines and primary cultures to human-induced pluripotent stem cell (ipsc)-derived neurons glia, neuron-glia co-cultures (including neuroinflammation paradigms), 3d spheroids, organoids, and blood-brain barrier (bbb)-on-chip systems. complementary in vivo toxin, pharmacological, and genetic models are discussed for systems-level validation and central nervous system (cns) exposure realism. the therapeutic synthesis focuses on ad, covering symptomatic drugs, anti-amyloid immunotherapies, tau-directed approaches, and repurposed drug classes that target metabolism, neuroinflammation, and network dysfunction. this review links experimental models to translational decision-making, focusing primarily on ad and providing a brief comparative context from other ndds. it also covers emerging targeted protein degradation (protacs). key priorities include neuroimmune neurovascular human models, biomarker-anchored adaptive trials, mechanism-guided combination dmts, and cns pk pd-driven development for brain-directed degraders.",,
41599368.0,Experimental Models and Translational Strategies in Neuroprotective Drug Development with Emphasis on Alzheimer's Disease.,"and providing a brief comparative context from other ndds. it also covers emerging targeted protein degradation (protacs). key priorities include neuroimmune neurovascular human models, biomarker-anchored adaptive trials, mechanism-guided combination dmts, and cns pk pd-driven development for brain-directed degraders.",,
41547241.0,Targeting neuroinflammation by activation of the sigma-1 receptor (S1R) and inhibition of butyrylcholinesterase (hBChE) leads to highly potent anti-amnesic compounds in an Alzheimer's disease mouse model.,"alzheimer s disease (ad) is a neurodegenerative disorder for which no effective preventative or curative treatment has yet been identified. due to the multifactorial nature and complex pathophysiology of the disease, we developed a multi-target ligand that both inhibits human butyrylcholinesterase (hbche), a key enzyme linked to -amyloid plaque formation, and activates the sigma-1 receptor (s1r), which modulates neuroinflammatory and protective pathways. to this end, a series of isoindolines were designed and synthesized, and their biological activities were evaluated. the most promising compound, 7c, exhibited significant dual activity, achieving nanomolar ic sub 50 sub values against hbche and potent s1r activation. subsequent in vivo studies in an a sub 25-35 sub mouse model revealed a remarkable improvement in cognitive deficits in both short- and long-term memory at an effective dose of 0.01 mg kg in wt swiss-of1 mice. this dose is 10-fold lower compared to single-target compounds 7a and 7b of this isoindoline series. the lack of neuroprotective effects in bche knock-out (ko) mice confirmed the involvement of bche inhibition in the pharmacological effects of compound 7c in wt mice. further combinatorial studies employing a two-drug combination demonstrated synergy in the neuroprotective effect of addressing the two targets.",,
41547241.0,Targeting neuroinflammation by activation of the sigma-1 receptor (S1R) and inhibition of butyrylcholinesterase (hBChE) leads to highly potent anti-amnesic compounds in an Alzheimer's disease mouse model.,of this isoindoline series. the lack of neuroprotective effects in bche knock-out (ko) mice confirmed the involvement of bche inhibition in the pharmacological effects of compound 7c in wt mice. further combinatorial studies employing a two-drug combination demonstrated synergy in the neuroprotective effect of addressing the two targets.,,
