pmid,title,abstract
41607364,"Overnight Dynamics of Ventricular Cerebrospinal Fluid Amyloid-Beta, Lactate and Hypocretin in Patients With Hydrocephalus: A Pilot Study.","This pilot observational study evaluated whether frequent overnight sampling of ventricular cerebrospinal fluid could clarify how sleep, hypocretin and lactate relate to amyloid-β42 dynamics in adults with hydrocephalus. Seven participants underwent hourly ventricular cerebrospinal fluid sampling from early evening to late morning during inpatient monitoring, combined with full polysomnography. Concentrations of amyloid-β42, hypocretin, lactate, melatonin and electrolytes were measured and normalised to each individual's mean. Relationships with sleep stage and circadian patterns were examined using correlation analysis and cosinor modelling. Sleep was markedly disrupted, with obstructive sleep apnea common and analysable sleep data available for six participants. Non-rapid eye movement sleep peaked at approximately 4 AM Amyloid-β42 rose in the evening, plateaued during peak non-rapid eye movement sleep and increased sharply after 8 AM Hypocretin and lactate were positively correlated and each preceded and correlated with amyloid-β42 surges. Melatonin peaked near 6 AM and was associated with non-rapid eye movement sleep. Intracranial pressure displayed a strong circadian rhythm, peaking during non-rapid eye movement sleep, whereas hypocretin and amyloid-β42 exhibited only modest rhythmicity. These findings demonstrate that overnight ventricular cerebrospinal fluid sampling is feasible in adults with hydrocephalus. Preliminary evidence suggests that processes linked to wakefulness, rather than sleep or intrinsic circadian timing, may be the primary drivers of overnight amyloid-β42 variation. Hypocretin pathways may represent potential therapeutic targets in Alzheimer's disease, but conclusions are limited by abnormal sleep architecture and underlying neurological disease. Validation in larger and more representative populations is warranted."
41604552,Multi-View Biomedical Foundation Models for Molecule-Target and Property Prediction.,"Molecular foundation models hold promise to provide accurate predictions for a large and diverse set of downstream tasks in bio-medical research. Quality molecular representations are key and foundation model development has typically focused on a single representation or molecular view, which may have strengths or weaknesses on a given task. We develop Multi-view Molecular Embedding with Late Fusion (MMELON), an approach that integrates pre-trained graph, image and text foundation models and may be readily extended to additional views and models. The multi-view model performs robustly and is validated on over 120 tasks, including molecular solubility, ADME properties, and activity against G Protein-Coupled receptors (GPCRs). The GPCR model array is leveraged to perform a virtual screen in search of ligands binding to Alzheimer's disease related GPCRs. We identify a number of such targets and employ the multi-view model to select strong binders from a compound screen. Predictions are validated through structure-based modeling and identification of key binding motifs."
41596653,"Design, Synthesis, and Biological Evaluation of Novel Acetylcholinesterase and β-Secretase 1 Inhibitors.","A series of novel granatane-triazole hybrid molecules was designed, synthesized, and evaluated as dual acetylcholinesterase (AChE) and β-secretase 1 (BACE1) inhibitors. The compounds were obtained through a convergent synthetic route involving azide formation, triazole construction via dipolar cycloaddition, and final coupling with a granatane scaffold to give a pseudopelletierine (3-granatanone) analogue. In vitro assays demonstrated that all target compounds inhibited both AChE and BACE1. Molecular docking and molecular dynamics simulations revealed stable interactions with key catalytic residues, suggesting distinct binding modes compared to reference ligands. QSAR-based pharmacokinetic predictions indicated favorable blood-brain barrier permeability and compliance with key drug-likeness filters. These findings identify granatane-triazole hybrids as promising multi-target directed ligand (MTDL) candidates with potential for further optimization in the search for new anti-Alzheimer therapeutics."
41599761,Aptamer-Based Delivery of Genes and Drugs Across the Blood-Brain Barrier.,"The blood-brain barrier (BBB) restricts therapeutic delivery to the central nervous system (CNS), hindering the treatment of neurological disorders, such as Alzheimer's disease, Parkinson's disease, brain cancers, and stroke. Aptamers, short single-stranded DNA or RNA oligonucleotides that can fold into unique 3D shapes and bind to specific target molecules, offer high affinity and specificity, low immunogenicity, and promising BBB penetration via receptor-mediated transcytosis targeting receptors such as the transferrin receptor (TfR) and low-density lipoprotein receptor-related protein 1 (LRP1). This review examines aptamer design through the Systematic Evolution of Ligands by Exponential Enrichment (SELEX) and its variants, mechanisms of BBB crossing, and applications in CNS disorders. Recent advances, including in silico optimization, in vivo SELEX, BBB chip-based MPS-SELEX, and nanoparticle-aptamer hybrids, have identified brain-penetrating aptamers and enhanced the brain delivery efficiency. This review highlights the potential of aptamers to transform CNS-targeted therapies."
41590318,Smart Biosensing Nanomaterials for Alzheimer's Disease: Advances in Design and Drug Delivery Strategies to Overcome the Blood-Brain Barrier.,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder marked by persistent memory impairment and complex molecular and cellular pathological changes in the brain. Current treatments, including acetylcholinesterase inhibitors and memantine, only help with symptoms for a short time and do not stop the disease from getting worse. This is mainly because these drugs do not reach the brain well and are quickly removed from the body. The blood-brain barrier (BBB) restricts the entry of most drugs into the central nervous system; therefore, new methods of drug delivery are needed. Nanotechnology-based drug delivery systems (NTDDS) are widely studied as a potential approach to address existing therapeutic limitations. Smart biosensing nanoparticles composed of polymers, lipids, and metals can be engineered to enhance drug stability, improve drug availability, and target specific brain regions. These smart nanoparticles can cross the BBB via receptor-mediated transcytosis and other transport routes, making them a promising option for treating AD. Additionally, multifunctional nanocarriers enable controlled drug release and offer theranostic capabilities, supporting real-time tracking of AD treatment responses to facilitate more precise and personalized interventions. Despite these advantages, challenges related to long-term safety, manufacturing scalability, and regulatory approval remain. This review discusses current AD therapies, drug-delivery strategies, recent advances in nanoparticle platforms, and prospects for translating nanomedicine into effective, disease-modifying treatments for AD."
41599368,Experimental Models and Translational Strategies in Neuroprotective Drug Development with Emphasis on Alzheimer's Disease.,"Neurodegenerative diseases (NDDs), including Alzheimer's disease (AD), Parkinson's disease (PD), amyotrophic lateral sclerosis (ALS) and frontotemporal dementia (FTD), are becoming more prevalent and still lack effective disease-modifying therapies (DMTs). However, translational efficiency remains critically low. For example, a ClinicalTrials.gov analysis of AD programs (2002-2012) estimated ~99.6% attrition, while PD programs (1999-2019) achieved an overall success rate of ~14.9%. In vitro platforms are assessed, ranging from immortalized neuronal lines and primary cultures to human-induced pluripotent stem cell (iPSC)-derived neurons/glia, neuron-glia co-cultures (including neuroinflammation paradigms), 3D spheroids, organoids, and blood-brain barrier (BBB)-on-chip systems. Complementary in vivo toxin, pharmacological, and genetic models are discussed for systems-level validation and central nervous system (CNS) exposure realism. The therapeutic synthesis focuses on AD, covering symptomatic drugs, anti-amyloid immunotherapies, tau-directed approaches, and repurposed drug classes that target metabolism, neuroinflammation, and network dysfunction. This review links experimental models to translational decision-making, focusing primarily on AD and providing a brief comparative context from other NDDs. It also covers emerging targeted protein degradation (PROTACs). Key priorities include neuroimmune/neurovascular human models, biomarker-anchored adaptive trials, mechanism-guided combination DMTs, and CNS PK/PD-driven development for brain-directed degraders."
41547241,Targeting neuroinflammation by activation of the sigma-1 receptor (S1R) and inhibition of butyrylcholinesterase (hBChE) leads to highly potent anti-amnesic compounds in an Alzheimer's disease mouse model.,"Alzheimer's disease (AD) is a neurodegenerative disorder for which no effective preventative or curative treatment has yet been identified. Due to the multifactorial nature and complex pathophysiology of the disease, we developed a multi-target ligand that both inhibits human butyrylcholinesterase (hBChE), a key enzyme linked to β-amyloid plaque formation, and activates the sigma-1 receptor (S1R), which modulates neuroinflammatory and protective pathways. To this end, a series of isoindolines were designed and synthesized, and their biological activities were evaluated. The most promising compound, 7c, exhibited significant dual activity, achieving nanomolar IC<sub>50</sub> values against hBChE and potent S1R activation. Subsequent in vivo studies in an Aβ<sub>25-35</sub> mouse model revealed a remarkable improvement in cognitive deficits in both short- and long-term memory at an effective dose of 0.01 mg/kg in WT Swiss-OF1 mice. This dose is 10-fold lower compared to single-target compounds 7a and 7b of this isoindoline series. The lack of neuroprotective effects in BChE knock-out (KO) mice confirmed the involvement of BChE inhibition in the pharmacological effects of compound 7c in WT mice. Further combinatorial studies employing a two-drug combination demonstrated synergy in the neuroprotective effect of addressing the two targets."
41553588,"Metallothioneins in Neurodegenerative Diseases: Metal Homeostasis, Autoimmunity, and Therapeutic Potential.","Neurodegenerative diseases, including multiple sclerosis, Parkinson's disease, Alzheimer's disease, and amyotrophic lateral sclerosis, are characterized by progressive neuronal loss and are frequently linked to metal dysregulation, oxidative stress, and immune dysfunction. Metallothioneins (MTs), a family of cysteine-rich, metal-binding proteins, are critical in maintaining metal homeostasis, mitigating oxidative damage, and modulating immune responses, functions highly relevant in these pathologies. MTs regulate essential metals like copper and iron by preventing their participation in harmful redox reactions and control zinc availability for enzymatic and signaling processes. They also detoxify neurotoxic metal(oid)s such as cadmium, mercury, lead, and arsenic, thereby reducing their adverse neurological and immunological effects. In autoimmune neurodegeneration, MTs modulate pro- and anti-inflammatory cytokines (e.g., IL-6, TNF-α, IL-10) and influence immune cell activity, particularly microglia and T cells, which are central to neuroinflammation and autoimmunity. Through these mechanisms, MTs play a dual role in sustaining immune homeostasis and counteracting oxidative stress. Their capacity to integrate metal regulation with immune modulation positions them as promising therapeutic targets, with preclinical and some clinical evidence supporting strategies to enhance MT expression or develop MT-mimetic agents to address both metal dysregulation and immune imbalance. Additionally, MTs show emerging utility as biomarkers, as alterations in MT isoform expression and metal-bound complexes in biofluids have been associated with disease onset, progression, and therapeutic response in specific neurodegenerative conditions. This article reviews the multifaceted roles of MTs in neurodegenerative diseases, emphasizing their function in metal and immune regulation and their emerging potential as therapeutic targets and clinical biomarkers."
41599691,The Expanding Role of Non-Coding RNAs in Neurodegenerative Diseases: From Biomarkers to Therapeutic Targets.,"Non-coding RNAs have emerged as central regulators of gene expression in neurodegenerative diseases, offering new opportunities for diagnosis and therapy. This review synthesizes current knowledge on microRNAs, long non-coding RNAs, and circular RNAs in Alzheimer's disease, Parkinson's disease, and amyotrophic lateral sclerosis, emphasizing their roles in synaptic function, proteostasis, mitochondrial biology, and neuroinflammation. We evaluate evidence supporting non-coding RNAs as circulating and tissue-based biomarkers for early detection, disease monitoring, and patient stratification, and we compare analytical platforms and biofluid sources. Mechanistic insights reveal how non-coding RNAs modulate pathogenic protein aggregation, neuronal excitability, immune cell crosstalk, and blood-brain barrier integrity. Translational efforts toward RNA-targeted interventions are reviewed, including antisense oligonucleotides, small interfering RNAs, miRNA mimics and inhibitors, circular RNA decoys, and extracellular vesicle-mediated delivery systems. We discuss pharmacological modulation, delivery challenges, safety concerns, and strategies to enhance specificity and CNS penetration. Finally, we outline emerging computational and multi-omics approaches to prioritize therapeutic targets and propose a roadmap for advancing non-coding RNA research from preclinical models to clinical trials. Addressing biological heterogeneity and delivery barriers will be pivotal to realizing the diagnostic and therapeutic promise of the non-coding transcriptome in neurodegenerative disease. Collaboration across disciplines and rigorous clinical validation are urgently needed."
41588609,From gut to brain: formulation and transporter-guided approaches to maximise rutin central nervous system delivery.,"Neurological disorders, including Alzheimer's and Parkinson's disease, are characterised by high morbidity and disability, representing a major global health challenge. A central obstacle in their treatment is the <i>blood-brain barrier</i>, a highly selective interface that limits drug delivery to the central nervous system. Rutin, a naturally occurring flavonoid, exhibits potent antioxidant, anti-inflammatory, and neuroprotective activities, yet its clinical utility remains constrained by poor solubility, low oral bioavailability, and restricted <i>blood-brain barrier</i> permeability. Recent advances in drug delivery and formulation science offer promising solutions. Nanoparticle encapsulation, peptide conjugation, intranasal delivery, and co-administration with absorption enhancers have been shown to improve rutin's solubility, metabolic stability, and central nervous system penetration in preclinical models. Mechanistic studies further reveal that rutin can modulate efflux transporters, regulate tight-junction proteins, and influence microglial activity and cellular metabolism, collectively contributing to enhanced neuroprotection. Experimental evidence highlights its potential to mitigate key neurodegenerative processes, particularly in Alzheimer's disease. This review synthesises current knowledge on rutin's pharmacological effects, limitations in bioavailability, and innovative strategies to improve <i>blood-brain barrier</i> penetration. By integrating mechanistic insights with advances in delivery technologies, this review underscores rutin's translational potential. Priority next steps include optimising delivery systems, establishing long-term safety, and conducting well-designed clinical trials to define efficacy and dosing."
